"Feature matrix below based on Winter 25 Release Notes as of December 27, 2024",Spring 25 Release Notes (PDF),,,Spring 25 Release Notes (HTML),,,,,,,,
,,,,,,,,,,,,
,Key Color Legend:,,,,,,,,,,,
,Green,Items of immediate impact for ALL USERS,,,,,,,,,,
,Blue,Items of immediate availability/applicability for ADMIN/Developer USERS,,,,,,,,,,
,Yellow,Items suggested for review,,,,,,,,,,
,Pink,,TBD or N/A,,,,,,,,,
,Black,Not Applicable due to usage / entitlement,,,,,,,,,,
,Red,Not to be used / enabled,,,,,,,,,,
Feature,Key Color,Customer Decision,Product Family,Product,Sub-Product,Enabled for Users,Enabled for admins / developers,Requires admin setup,Contact Salesforce to enable,Description / Notes,Commentary on promotion/enablement/disablement,Assigned for Review
Supported Browsers and Devices for Lightning Experience,,,Supported Browsers,,,TRUE,,,,"Lightning Experience is available in multiple editions. Specific browsers and devices are supported, and there are limitations and considerations for third-party browser extensions and JavaScript libraries. We recommend using the Salesforce mobile app on mobile devices.",,
Supported Browsers and Devices for Salesforce Classic,,,Supported Browsers,,,TRUE,,,,"Salesforce Classic doesn't support mobile browsers, so we recommend using the Salesforce mobile app when working on mobile devices.",,
Supported Browsers for CRM Analytics,,,Supported Browsers,,,TRUE,,,,Supported browsers for CRM Analytics include those supported for Lightning Experience.,,
Add the New Setup Domain,,,Salesforce Overall,General Enhancements,,TRUE,,,,"Ensure that Setup pages in Lightning Experience load content correctly when browsers block third-party cookies. If your users have general access to the internet, no action is required. If your company controls users’ or servers’ access to the internet through firewalls or allowlists, your IT department must add *.salesforce-setup.com to the company’s list of allowed domains. Salesforce Setup pages are now hosted on that domain.",,
Prepare for Upcoming Restrictions on Salesforce Cookie Use,,,Salesforce Overall,General Enhancements,,,TRUE,,,"To support users that block third-party cookies, test custom functionality and code that uses a Salesforce session cookie. To test, enable the My Domain setting, “Require first-party use of Salesforce cookies.” Salesforce plans to enforce that setting in a future release.",,
Monitor Your Usage of Sales and Service Cloud Agents with Digital Wallet,,,Salesforce Overall,General Enhancements,,,,TRUE,,"Monitor more of your Agentforce usage for Sales and Service Cloud with Digital Wallet, an account management tool for consumption-based features. Now, on the Digital Wallet homepage, the Conversations consumption card summarizes your org’s combined usage of Agentforce Sales Coach and Agentforce SDR (Sales Development Rep) along with ASA Messaging (formerly Agentforce Service Agent - Inbound). Additionally, Digital Wallet’s Consumption Insights page offers a breakdown of your combined Agentforce usage by time period to help you detect trends over time.",,
Cloudfront Is Replacing Akamai as the Lightning CDN Partner,,,Salesforce Overall,General Enhancements,,,TRUE,,,"All new and existing orgs automatically migrate from the content delivery network (CDN) partner Akamai to the partner Cloudfront. If your company's firewall only lets through specific domains, add *.static.lightning.force.com to the allowlist.",,
Allow the Required Domain for Maps and Location Services,,,Salesforce Overall,General Enhancements,,,TRUE,,,"Maps and location services use Google Maps to display maps on standard address fields, enable creation of Visualforce maps, and help users enter new addresses with autocomplete. To use these features, add *.forceusercontent.com to the allowlists for your network, firewalls, and proxies. Previously, that domain was erroneously included in the list of domains used only in orgs without enhanced domains.",,
Redirect to a Newly Created Record,,,Salesforce Overall,General Enhancements,,TRUE,,,,"When you create a new record by using a quick action, you can now quickly redirect to the newly created record by clicking default or custom toast messages. Previously, on desktop, you could only click the default toast message to be redirected to the newly created record.",,
Track Salesforce Platform Login License Overages in Your Org,,,Salesforce Overall,General Enhancements,,,,,TRUE,You can keep track of Salesforce Platform Login users who exceed the number of custom objects that they’re allowed on the System Overview page. Click the number next to Salesforce Platform Login Users Over Custom Object Limit to download a CSV file of the user names and the custom objects that they created.,,
Lightning Adoption Apps Are Being Retired,,,Salesforce Overall,General Enhancements,,,TRUE,,,"Lightning Adoption apps, including Lightning Experience Transition Assistant, Lightning Experience Configuration Converter, and Lightning Experience Readiness Check, are scheduled for retirement on January 10, 2025.",,
Enjoy Salesforce’s Refreshed Visual Style with Themes for SLDS 2 (Beta),,,Salesforce Overall,General Enhancements,,,TRUE,,,"Create custom themes that represent your brand with all the benefits of Salesforce Lightning Design System (SLDS 2), or select the new built-in SLDS 2 theme, Salesforce Cosmos. To find the perfect fit, you can easily switch between SLDS and SLDS 2 themes. In-app guidance and visual cues ensure that you always know which SLDS version you’re working in. Previously, the enhanced Lightning user interface setting in User Interface Settings controlled enablement of SLDS 2.",,
